	page #	brand	url	product	price
47	1	 VANS 	https://eshop.cataloghk.com/105vn0a4bv518p.html	UNISEX VANS PIG SUEDE OLD SKOOL	HK$650.00
48	1	 VANS 	https://eshop.cataloghk.com/105vn0a2z5i18m.html	UNISEX VANS PIG SUEDE AUTHENTIC	HK$590.00
49	1	 VANS 	https://eshop.cataloghk.com/105vn0a4bv518m.html	UNISEX VANS PIG SUEDE OLD SKOOL	HK$650.00
50	1	 VANS 	https://eshop.cataloghk.com/105vn0a3wm91pj.html	UNISEX VANS MOMA COMFYCUSH ERA	HK$750.00
51	1	 VANS 	https://eshop.cataloghk.com/105vn0a3wma1pj.html	UNISEX VANS MOMA COMFYCUSH OLD SKOOL	HK$850.00
52	1	 VANS 	https://eshop.cataloghk.com/105vn0a2z5i18h.html	UNISEX VANS MOMA MONET AUTHENTIC	HK$650.00
53	1	 Converse 	https://eshop.cataloghk.com/150569545c.html	WOMEN DIAMOND METAL CONVERSE CHUCK TAYLOR ALL STAR MOVE HI	HK$569.00
54	1	 Asics 	https://eshop.cataloghk.com/1151144a151100.html	LITTLE KIDS ASICS CORSAIR BABY	HK$350.00
55	1	 Asics 	https://eshop.cataloghk.com/1151144a158400.html	LITTLE KIDS ASICS IDAHO BABY OP	HK$290.00
56	1	 Asics 	https://eshop.cataloghk.com/1151144a092600.html	BIG KIDS ASICS IDAHO MINI OP	HK$350.00
57	1	 Asics 	https://eshop.cataloghk.com/1151144a158600.html	LITTLE KIDS ASICS IDAHO BABY OP	HK$290.00
58	1	 Asics 	https://eshop.cataloghk.com/1151144a152100.html	BIG KIDS ASICS CORSAIR MINI	HK$390.00
59	1	 Asics 	https://eshop.cataloghk.com/1151144a092400.html	BIG KIDS ASICS IDAHO MINI OP	HK$350.00
60	2	 Age 	https://eshop.cataloghk.com/1abcrctabk0112.html	UNISEX AGE CUT SNEAKERS	HK$599.00
61	2	 Age 	https://eshop.cataloghk.com/1abcrctckr011.html	UNISEX AGE TARTAN CHECK CUT	HK$599.00
62	2	 Age 	https://eshop.cataloghk.com/1abcrctckn011.html	UNISEX AGE TARTAN CHECK CUT	HK$599.00
63	2	 Dr. Martens 	https://eshop.cataloghk.com/1dm23863001.html	WOMEN DR.MARTENS 8 EYE BOOT	HK$1,499.00
64	2	 Dr. Martens 	https://eshop.cataloghk.com/1dm11822002.html	UNISEX DR.MARTENS 8 EYE BOOT	HK$1,399.00
65	2	 Reebok 	https://eshop.cataloghk.com/101fu9080.html	UNISEX REEBOK FURYLITE 3	HK$299.00
