page no.,title,url,details,post date
5,Google禁制虛擬貨幣廣告  IMF促各國監管防不法活動,http://startupbeat.hkej.com/?p=56788,虛擬貨幣監管備受國際關注，科網巨擘亦紛紛打擊相關廣告。Google周三發表新政策，6月起禁止虛擬貨幣及二元期權（一種風險高的衍生品）等未受監管或投機金融產品的廣告。Google廣告收入主要對手fb於1月底已採取類似措施。,"Posted March 15, 2018"
5,金融科企積極搶灘,http://startupbeat.hkej.com/?p=56690,在傳統銀行仍然觀望發展虛擬銀行之際，多家非銀行金融科技企業已摩拳擦掌，躍躍欲試，其中本港網貸公司WeLab行政總裁龍沛智表示，正積極研究申請虛擬銀行牌照，估計結果會非常正面，並會爭取成為第一批申請者。,"Posted March 13, 2018"
5,進軍虛擬銀行 業界冷熱分明,http://startupbeat.hkej.com/?p=56683,現時大部分銀行已有提供網上銀行服務，富邦香港行政總裁及董事總經理李永鴻直言，隨着金融科技演化，銀行已朝數碼化方向發展，「今時今日，縱然不申請虛擬銀行牌照，都要發展虛擬銀行的功能。」,"Posted March 13, 2018"
5,香港應借RegTech展優勢 (鄧淑明博士),http://startupbeat.hkej.com/?p=56676,對本地業界來說，以RegTech評估信貸風險、監察洗黑錢和詐騙等問題，減低人力資源成本之餘，也能帶來商機。,"Posted March 13, 2018"
5,虛擬銀行三招致勝關鍵 港邁向智慧時代 科技助拓新服務,http://startupbeat.hkej.com/?p=56629,本報專訪兩間正積極發展虛擬銀行業務的挑戰者銀行，包括剛完成收購哈洛德百貨旗下哈洛德銀行（Harrods Bank）的Tandem，以及長和系主席李嘉誠旗下維港投資有參與投資的N26。他們均提到，虛擬銀行服務能與傳統銀行競爭，有三大致勝關鍵。,"Posted March 12, 2018"
5,周小川打殘Bitcoin (高天佑),http://startupbeat.hkej.com/?p=56623,Bitcoin炒家短期內難有運行，不過觀乎周小川言論，中央當局對於虛幣技術原來非常了解和認可，已成立了虛擬貨幣研究所，只是不希望其發展過急甚至失控，日後很有可能推出官方虛幣，取名「熊貓幣」或者「維尼幣」。,"Posted March 12, 2018"
5,批虛擬幣令人「幻想一夜暴富」,http://startupbeat.hkej.com/?p=56573,人民銀行行長周小川表示，比特幣及其分支產品推出得太快，不夠慎重，可能帶來很大的負面影響。而人行不太喜歡投機性產品，讓人有一夜暴富的幻想並非好事，強調人行不支持比特幣和人民幣的直接交易。,"Posted March 10, 2018"
5,日金融廳罰七虛幣平台,http://startupbeat.hkej.com/?p=56558,日本虛擬貨幣交易所Coincheck於1月爆出虛擬貨幣被盜事件，日本金融廳介入調查，昨日宣布處分Coincheck等7間虛擬貨幣交易所，其中Bit Station及FSHO更分別被揭擅自挪用客戶資產及違規營運，遭勒令停業一個月。,"Posted March 9, 2018"
5,八達通少賺三成 7年首跌,http://startupbeat.hkej.com/?p=56552,港鐵消息人士解釋，八達通去年落實轉用儲值支付工具（SVF）牌照制度，業務架構及入賬方式有所改變，加上首期開支，以及研發「O! ePay」需要投入大量資金，而且八達通的海外項目收入不及以往理想。,"Posted March 9, 2018"
5,支付寶香港用戶突破百萬,http://startupbeat.hkej.com/?p=56548,由長和（00001）夥拍螞蟻金服的合資企業Alipay Payment Services（HK）Limited（APSHK）， 昨天舉行「新零售新體驗」啟動禮，公司行政總裁陳婉真表示，支付寶香港（AlipayHK）由去年5月至今已累積逾100萬用戶。,"Posted March 9, 2018"
6,金融科技合作共贏 (WeLab 龍沛智),http://startupbeat.hkej.com/?p=56528,政府大力投資創科，金融科技（FinTech）是其中發展重點。《信報》StartupBeat請來本地金融科技初創WeLab創辦人及行政總裁龍沛智，分享培育金融科技人才的經驗，以及他對香港發展金融科技的看法。,"Posted March 9, 2018"
6,WeChat Pay派千萬利是 客戶飆44%,http://startupbeat.hkej.com/?p=56506,騰訊（00700）旗下WeChat Pay HK今年在農曆新年期間，透過「搶利是」活動成功爭取客戶，該公司昨日公布2月份新增註冊用戶數量急升44%，期內本地用戶合共搶得逾1000萬元WeChat利是。,"Posted March 8, 2018"
6,為內地移動支付說句公道話 (陳家豪),http://startupbeat.hkej.com/?p=56495,港台兩地最近瘋傳一篇有關內地移動支付普及原因的文章，除了內容有許多失實之外，亦反映港台不少人對內地現況欠缺基本認識。那篇台幹（駐內地台灣管理層）在PTT論壇寫的文章，認為內地移動支付普及的原因不但理由牽強，更用了偷換時空的技巧。,"Posted March 8, 2018"
6,區塊鏈賣電Electrify吸逾2億,http://startupbeat.hkej.com/?p=56479,研究以區塊鏈（Blockchain）技術讓用戶及電力供應商自由買賣電力的新加坡初創Electrify（易電樂）透露，成功以首次代幣發行（ICO）集資3000萬美元（約2.34億港元）。,"Posted March 8, 2018"
6,八達通擬多渠道發政府交津 今年兩大項目 藉快速支付添新服務,http://startupbeat.hkej.com/?p=56418,政府計劃透過八達通為市民提供交通津貼，八達通行政總裁張耀堂指出，會配合政府的計劃作好準備，冀計劃落實時市民可透過該公司不同的服務站提取津貼，該公司並與便利店及超市洽商，以增加市民提取津貼的渠道。,"Posted March 6, 2018"
