地區,大廈名單,相關確診/疑似/個案編號
沙田,名城 2期 1座,896
中西區,縉城峰 2座,897
北區,下山雞乙,898
中西區,Lexington Hill,899
中西區,雍景臺,900
灣仔,永富苑,901
元朗,仁壽圍,902
西貢,寶盈花園 7座,903
屯門,新墟村,905
九龍城,愛民邨昭民樓,912
九龍城,愛民邨昭民樓,913
觀塘,高翔苑高靜閣,914
九龍城,北帝街 123號,915
中西區,弓絃巷 40-42號,916
南區,海怡半島 4座,917
油尖旺,美麗都大廈福建酒店,918
西貢,茅莆路,919
灣仔,灣仔帝盛酒店,920
油尖旺,瓏璽 6B座,921
元朗,錦田吉慶圍,922
沙田,湖景花園 (洋房區),923
觀塘,秀茂坪邨秀緻樓,924
九龍城,九龍城德朗邨德璋樓,925
元朗,天澤邨澤輝樓,926
葵青,葵涌邨綠葵樓,928
灣仔,益誠樓,929
東區,華裕閣,932
油尖旺,廟街 109號,933
元朗,錦綉花園 C段 5街,934
南區,舂坎角道,935
沙田,顯徑邨顯貴樓,936
油尖旺,旺角帝盛酒店,廣東省衞健委通報的個案
中西區,香港萬怡酒店,
灣仔,嘉薈軒,937
中西區,德輔道西 288號,938
西貢,坑口村,939
西貢,早禾居,940
荃灣,豪景花園 2座,943
屯門,富泰村健泰樓,944
北區,海禧華庭 2座,945
離島,藍天海岸 6座,946
中西區,明珠台 D座,947
灣仔,柏寧酒店,948
油尖旺,帝國酒店,949
油尖旺,恆豐酒店,949
元朗,蕃田村,950
中西區,縉城峰 2座,953
東區,新翠花園 6座,954
元朗,大井圍村,955
屯門,海景花園 8座,956
東區,華裕閣,957
東區,華裕閣,958
荃灣,荃灣絲麗酒店,959
觀塘,油塘工業城 B1座,960
油尖旺,華寶大廈,961
東區,太古城金殿台漢宮閣,962
東區,華美達盛景酒店,963
九龍城,新德園,964
中西區,禧福道 1號新德園,965
油尖旺,瓏璽 6B座,966
中西區,文咸東街 127號萬和閣,968
觀塘,滙景花園 2座,969
葵青,荃灣帝盛酒店,970
離島,愉景灣朝暉徑,971
油尖旺,漆咸道南 83-85號金德大廈,972
中西區,皇后大道中 273-277號禧利大廈,973
九龍城,東禧閣,974
大埔,龍成堡,975
元朗,十八鄉東頭村,976
荃灣,珀麗灣 30座,977
中西區,Branksome Grande,978
灣仔,V Wanchai,979
大埔,滌濤山,981
沙田,駿景園 6座,982
觀塘,秀茂坪邨秀程樓,983
離島,愉景灣倚濤軒,984
油尖旺,君匯港 1座,985
中西區,宏基國際賓館,987
沙田,雲疊花園 2座,988
九龍城,太子道西 226號皇子大廈,989
中西區,君珀,990
油尖旺,香港基督教青年會,992
中西區,花園台 3座,993
元朗,田心村,996
沙田,雲端,997
元朗,十八鄉東頭村,998
中西區,香港萬怡酒店,1000
中西區,碧雲樓,1001
屯門,松苑 1座,1002
元朗,仁壽圍,1003
葵青,大窩口邨富泰樓,1004
屯門,海景花園 8座,1005
沙田,雲疊花園 2座,1007
中西區,花園台 3座,1009
屯門,星堤 11座,1013
葵青,荃灣絲麗酒店,1015
灣仔,太極軒 138,1017
